Time(s),Peak(V)
0.001020495,0.125511
0.0020109,0.117796
0.00301460,0.1081448
0.00401151,0.1004204
0.00500483,0.096557
0.00601673,0.0926964
0.00700565,0.090766
0.00801059,0.083038
0.00902092,0.081106
0.01001591,0.077248
0.01102393,0.071464
0.01201846,0.07144
0.01302088,0.06372
0.0140154,0.05986
0.01502117,0.05792
0.01601981,0.052141
0.0170176,0.05021
0.0180118,0.044418
0.01901897,0.04826
0.0200059,0.04055
0.02101073,0.03864
0.02200891,0.04250
0.0230189,0.03864
0.0240146,0.03670
0.0249980,0.03668
0.0260317,0.03668
0.0270017,0.03583
0.0280214,0.03671
0.0290101,0.03285
0.03001091,0.03287
