Time(s),Peak(V)
0.0006818,.20959
0.0010701,.21739
0.0014791,.20183
0.0018736,.20571
0.0022734,.19020
0.0026777,.19020
0.0030712,.18631
0.00347217,.178549
0.0038759,.17466
0.0042669,.17078
0.0046742,.16689
0.0050713,.16692
0.0054737,.16302
0.0058778,.163027
0.0062766,.15915
0.0066744,.15526
0.0070761,.15524
0.0074793,.15527
0.0078753,.14751
0.0082729,.14752
0.0086761,.14362
0.0090788,.13973
0.0094747,.13588
0.0098794,.13585
0.0102739,.13198
0.0106729,.13198
0.0110780,.12811
0.0114651,.12808
0.0118739,.12805
