Voltage PMT Bias (V),PMT Dark Rate (kHz) (shutter closed),Dark Bulb (0) Rate (kHz),Bright Bulb (5) Rate (kHz)
300,0,0,0
310,0,0,0
320,0,0,0
330,0,0,0
340,0,0,0
350,0,0,0
360,0,0.0001,0
370,0.0001,0,0
380,0.0001,0.0002,0
390,0.0001,0.0001,0
400,0.0001,0.0001,0.0001
410,0.0001,0.0002,0.0022
420,0.0001,0.0004,0.0124
430,0.0003,0.0001,0.0437
440,0.0002,0.0003,0.1243
450,0.0004,0.0005,0.2708
460,0.0002,0.0003,0.4914
470,0.0004,0.0006,0.7699
480,0.0007,0.001,1.0696
490,0.0003,0.001,1.3586
500,0.0007,0.0014,1.6309
510,0.001,0.0014,1.8682
520,0.0011,0.003,2.0743
530,0.0021,0.0025,2.2433
540,0.0015,0.0031,2.3782
550,0.0022,0.0032,2.4566
560,0.0027,0.0029,2.5338
570,0.0028,0.0035,2.5862
580,0.0037,0.0054,2.6132
590,0.005,0.005,2.6094
600,0.0053,0.0065,2.5536
610,0.0052,0.0054,2.3984
620,0.0072,0.0055,2.2208
630,0.0074,0.0077,2.1171
640,0.0103,0.0111,2.0436
650,0.0102,0.0115,1.9538
660,0.0111,0.0112,1.9308
670,0.0128,0.0111,1.9663
680,0.013,0.0149,2.0641
690,0.0166,0.0149,2.1348
700,0.018,0.0191,2.2633
710,0.0189,0.0203,2.4156
720,0.0266,0.0209,2.4711
730,0.0247,0.0275,2.6059
740,0.0238,0.0254,2.6826
750,0.0281,0.0271,2.676
760,0.0292,0.0308,2.7784
770,0.0315,0.0369,2.8066
780,0.0335,0.0344,2.8574
790,0.0374,0.0373,2.8694
800,0.0397,0.0424,2.8972
810,0.0407,0.0443,
820,0.0468,0.0503,
830,0.0509,0.0534,
840,0.054,0.0521,
